age,workclass,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0.12903225806451613,4,7,4,7,3,2,1,-0.32917794689399427,-0.028415232954034062,0.4931506849315068,38,0
0.33870967741935487,4,9,2,5,0,4,1,-0.32917794689399427,-0.028415232954034062,0.6301369863013698,38,0
0.1774193548387097,2,12,2,11,0,4,1,-0.32917794689399427,-0.028415232954034062,0.4931506849315068,38,1
0.435483870967742,4,10,2,7,0,2,1,2.024793943929633,-0.028415232954034062,0.4931506849315068,38,1
0.016129032258064502,0,10,4,0,3,4,0,-0.32917794689399427,-0.028415232954034062,0.3561643835616438,38,0
0.27419354838709675,4,6,4,8,1,4,1,-0.32917794689399427,-0.028415232954034062,0.3561643835616438,38,0
0.1935483870967742,0,9,4,0,4,2,1,-0.32917794689399427,-0.028415232954034062,0.4931506849315068,38,0
0.7419354838709677,6,15,2,10,0,4,1,0.6209228305807346,-0.028415232954034062,0.3835616438356164,38,1
0.11290322580645162,4,10,4,8,4,4,0,-0.32917794689399427,-0.028415232954034062,0.4931506849315068,38,0
0.6129032258064516,4,4,2,3,0,4,1,-0.32917794689399427,-0.028415232954034062,0.0821917808219178,38,0
0.7741935483870968,4,9,2,7,0,4,1,1.6359354239834822,-0.028415232954034062,0.4931506849315068,38,1
0.30645161290322576,1,13,2,1,0,4,1,-0.32917794689399427,-0.028415232954034062,0.4931506849315068,38,0
0.14516129032258063,4,9,4,1,1,4,0,-0.32917794689399427,-0.028415232954034062,0.47945205479452047,38,0
0.6612903225806451,0,9,2,0,0,4,1,-0.32917794689399427,-0.028415232954034062,0.4246575342465753,38,0
0.5,4,9,2,7,0,4,1,0.6209228305807346,-0.028415232954034062,0.6027397260273972,38,1
0.4193548387096774,4,14,2,4,0,4,1,-0.32917794689399427,-0.028415232954034062,0.6301369863013698,38,1
0.04838709677419356,7,10,4,8,3,4,1,-0.32917794689399427,-0.028415232954034062,0.2876712328767123,38,0
0.4193548387096774,4,9,2,1,5,4,0,-0.32917794689399427,-0.028415232954034062,0.3561643835616438,38,0
0.32258064516129037,4,9,6,7,4,4,0,-0.32917794689399427,-0.028415232954034062,0.2191780821917808,38,0
